Site,Geo Point,Geo Shape,Shape Length,Nom français
LCS,"48.94077234795186, 2.4048331975651642","{""coordinates"":[[2.40447270362806,48.940441311995],[2.40459580173329,48.9405951848264],[2.40522005151695,48.9410765486741]],""type"":""LineString""}",136.62431608687126,La Courneuve
LCS,"48.94079434628152, 2.4048384617255403","{""coordinates"":[[2.40441803988436,48.9405885689564],[2.4046020743102,48.9406116490191],[2.40523137242863,48.9410696203751]],""type"":""LineString""}",125.41140662877763,La Courneuve
LCS,"48.94070858547949, 2.4048399931553166","{""coordinates"":[[2.40466824343488,48.9403053460495],[2.40480870155026,48.9404809195052],[2.40459181205181,48.9406184637158],[2.40523625994947,48.941080520538]],""type"":""LineString""}",173.3757572664582,La Courneuve
LCS,"48.94073406014374, 2.4048247824387996","{""coordinates"":[[2.40456893121337,48.9403824203192],[2.40473580765044,48.9405287361309],[2.40459602709729,48.9406222951586],[2.40522182316861,48.9410749305982]],""type"":""LineString""}",156.82206107577812,La Courneuve
LGN,"48.75564487591613, 2.0739688013616404","{""coordinates"":[[2.07354688882522,48.7565760436525],[2.07312488815252,48.7557508429581],[2.07493001408841,48.7553347006854],[2.0748254079685,48.7551242711412],[2.07450533194457,48.7551896994067],[2.07446956821649,48.7551283972772]],""type"":""LineString""}",445.70604681637343,Ligue Générale des Nations
LGN,"48.755652509464106, 2.0739663063260947","{""coordinates"":[[2.07356119359781,48.756577222176],[2.0733501928123,48.7561569612897],[2.07313025199309,48.7557614528046],[2.0749219687767,48.75533234358],[2.07481646793479,48.7551260395698],[2.07450533194457,48.7551944148154],[2.07449817865995,48.7551425435191]],""type"":""LineString""}",440.14948506653235,Ligue Générale des Nations
LGN,"48.75553398877912, 2.074043855836411","{""coordinates"":[[2.07332515946025,48.7561327942423],[2.07317495575488,48.7558569413219],[2.07312488725419,48.7557744203259],[2.07489514598064,48.7553264490391],[2.07482719651422,48.755118966447],[2.07454824716064,48.7551896994067],[2.07451248343256,48.7551708371754],[2.07454109387601,48.7551755525858]],""type"":""LineString""}",353.0711116945585,Ligue Générale des Nations
LGN,"48.75553272922656, 2.0754494013401175","{""coordinates"":[[2.07546377416561,48.7559253149804],[2.0761647241919,48.7557791356796],[2.0760502842146,48.7556895421056],[2.07548523132448,48.7554207592404],[2.07535648567627,48.7554254746273],[2.07522058674347,48.7554301900139],[2.07508468870897,48.7554113278729],[2.07499885827683,48.755392466317],[2.07489872217378,48.7553358804226],[2.07482004412793,48.755118966447],[2.07452813028817,48.7551723106672],[2.07451069668343,48.7551449018179]],""type"":""LineString""}",325.2968007327096,Ligue Générale des Nations
LGN,"48.755548592343686, 2.0754674630246526","{""coordinates"":[[2.07543337607469,48.7559536081959],[2.07620048702168,48.7557850301674],[2.0754709265519,48.7554066130768],[2.07524204480064,48.7554301900139],[2.07507753632268,48.755399833743],[2.07492017933265,48.7553503215402],[2.0748763702929,48.7552514426791],[2.07481959586861,48.7551292814915],[2.07452634174241,48.7551764367992],[2.07450533194457,48.7551378286978]],""type"":""LineString""}",337.05989068450566,Ligue Générale des Nations
LGN,"48.75556539127314, 2.074018519873516","{""coordinates"":[[2.0734324479496,48.7562978349214],[2.07313204053881,48.7557461276017],[2.07492375642413,48.7553347012777],[2.07482138531267,48.7551216190903],[2.07452678910344,48.7551944148154],[2.07448387388737,48.755118966447],[2.07448387388737,48.7551236818624]],""type"":""LineString""}",397.34797844934735,Ligue Générale des Nations
LIL,"50.610707740939276, 3.129180802435946","{""coordinates"":[[3.13002571442822,50.6099763783144],[3.12995418876866,50.6101284338152],[3.12921032262796,50.6102532551702],[3.12866763599177,50.6115668048416],[3.12889972383027,50.6116173047944],[3.12890130037358,50.6116151078318]],""type"":""LineString""}",379.4374358486242,Lille (une autre ville impliquée dans les JO)
LIL,"50.60929334103042, 3.1272839287983385","{""coordinates"":[[3.12882250375014,50.6116720110679],[3.12863000556453,50.6116066004439],[3.12899058213307,50.6108744132068],[3.12876952560626,50.6108100914231],[3.12757505823083,50.6100007908677],[3.12563283950114,50.6087107036924],[3.12755720151963,50.6073913219817],[3.1270256674677,50.6070750866732]],""type"":""LineString""}",1089.9054297196558,Lille (une autre ville impliquée dans les JO)
LIL,"50.61072020953515, 3.1291739380538695","{""coordinates"":[[3.13002347941977,50.6099765561754],[3.12995552995336,50.6101263422452],[3.12920808761955,50.6102557030245],[3.12865872919575,50.6115933787605],[3.12889601199153,50.6116349916506],[3.12889627968947,50.6116355537171]],""type"":""LineString""}",383.588337741216,Lille (une autre ville impliquée dans les JO)
LIL,"50.61071884599421, 3.1291774336040317","{""coordinates"":[[3.12888327477909,50.6116371059554],[3.12866414873184,50.6115931729733],[3.12921482678081,50.6102580613787],[3.12995505115134,50.6101297894307],[3.13001649951002,50.6099842098975]],""type"":""LineString""}",379.5342500550639,Lille (une autre ville impliquée dans les JO)
LIL,"50.610710783077806, 3.129179459941751","{""coordinates"":[[3.12887061841508,50.6116358832043],[3.12866555818852,50.611589140456],[3.12921245163518,50.6102518995582],[3.12996088840404,50.6101346823017],[3.13001519695287,50.6099893747056]],""type"":""LineString""}",378.61938443918785,Lille (une autre ville impliquée dans les JO)
LIL,"50.61071438919198, 3.1291735201496342","{""coordinates"":[[3.13001632703348,50.6099873361457],[3.12994480137392,50.6101280444605],[3.12921524000584,50.6102551352409],[3.12866297912535,50.611564362756],[3.1289007371299,50.611615651087],[3.12890075060465,50.6116159235696]],""type"":""LineString""}",375.9087563112127,Lille (une autre ville impliquée dans les JO)
NPA,"48.9700098276344, 2.5140977619297122","{""coordinates"":[[2.51388971603981,48.9693882516943],[2.51398091031252,48.969526765533],[2.5142813177233,48.9699211750719],[2.51409105993601,48.9699836228842],[2.51414971094094,48.9700606262358],[2.51389507988038,48.9701442028664],[2.51412539264788,48.9704465800082],[2.51439075228784,48.9703770894198]],""type"":""LineString""}",259.4672360272526,Nouvelle Paris Arena
NPA,"48.96959012104228, 2.5141770415386584","{""coordinates"":[[2.51439128858208,48.9684315583577],[2.51452227013703,48.9684990554538],[2.5139773350177,48.9695385036764],[2.51427774242849,48.9699188274615],[2.51409193040353,48.9699820743242],[2.5141471938615,48.9700520401734],[2.51386983362765,48.970146448448],[2.514102690424,48.9704412473736],[2.51439672159292,48.9703679449675]],""type"":""LineString""}",440.36258291385036,Nouvelle Paris Arena
NPA,"48.96995045598683, 2.514092574562132","{""coordinates"":[[2.51398895742085,48.9692051310736],[2.51397018173308,48.9695291131619],[2.51428131862163,48.9699211750719],[2.51408728072362,48.9699875332043],[2.51414772117257,48.9700636938657],[2.51389507988038,48.9701301166755],[2.51414469654501,48.9704446540562],[2.5143973378372,48.9703782310757]],""type"":""LineString""}",289.59630491661756,Nouvelle Paris Arena
NPA,"48.969865189915566, 2.514089817275943","{""coordinates"":[[2.51407478785295,48.9690038159107],[2.51395230076736,48.969524417904],[2.51428847100792,48.9699164792612],[2.51409239483253,48.9699889302105],[2.51414539453598,48.9700507416492],[2.51390599530941,48.9701391998425],[2.51412038543849,48.970437659064],[2.51439218240579,48.9703836627863]],""type"":""LineString""}",320.84554746214735,Nouvelle Paris Arena
NPA,"48.96980749076844, 2.514100602261334","{""coordinates"":[[2.5142571790933,48.9688823221841],[2.51396302934679,48.969524417904],[2.51426343675758,48.9699258702924],[2.51408263733193,48.9699841724874],[2.51413477914428,48.9700538511486],[2.51386830559335,48.9701397801084],[2.51413469110937,48.9704329633019],[2.51438083488712,48.9703826679654]],""type"":""LineString""}",344.77132762954375,Nouvelle Paris Arena
NPA,"48.969695746049254, 2.5141372511189113","{""coordinates"":[[2.51443688706591,48.9686264201776],[2.51393799599478,48.9695408513047],[2.51426343675758,48.9699141316506],[2.51408171027055,48.9699824075064],[2.51414686238317,48.9700571369687],[2.51388963968302,48.9701537772518],[2.51413366702994,48.9704336727082],[2.51441853538297,48.9703687422397]],""type"":""LineString""}",396.80039082482415,Nouvelle Paris Arena
OLV,"48.919073258065914, 2.3420696324136907","{""coordinates"":[[2.34497867031004,48.9197846437469],[2.34474678099923,48.919755703865],[2.34451178800908,48.920228702308],[2.344141402736,48.9202255348054],[2.34168106629313,48.9181961986425],[2.34146037178738,48.918355239344],[2.34048848807474,48.9186573466288],[2.33964669568662,48.918934424278],[2.33947346726217,48.9186033291238],[2.33915974053065,48.9183049316354],[2.33904472563158,48.9183533704119]],""type"":""LineString""}",988.2506440392514,Olympique Village
OLV,"48.9257155676358, 2.337167317326714","{""coordinates"":[[2.33749314658351,48.9259688738105],[2.33746257770077,48.9259835111896],[2.33732621974698,48.9258595846108],[2.3374326970576,48.925800571555],[2.33719241927867,48.9256238152784],[2.33692098972232,48.9257448642854],[2.33690567434503,48.9257325881733],[2.33710394061308,48.9256392768738],[2.33688375545209,48.9254712483369]],""type"":""LineString""}",189.7023239707105,Olympique Village
OLV,"48.92572960289447, 2.3371804326818175","{""coordinates"":[[2.3375343918008,48.9260484756183],[2.33732897577827,48.925859769351],[2.33742767817012,48.9258039452829],[2.33719337778107,48.925625426009],[2.33692670372643,48.9257454171606],[2.33690606446355,48.9257325496872],[2.33710503206278,48.925640581157],[2.33688661038275,48.9254724772755]],""type"":""LineString""}",197.4203743102549,Olympique Village
OLV,"48.92574548673413, 2.3371927822478265","{""coordinates"":[[2.33743137473751,48.9260686612198],[2.33751675691033,48.9260370129066],[2.33732358408993,48.9258592558556],[2.3374266954132,48.925804236264],[2.33719284957171,48.9256260994585],[2.33692533035429,48.925747937518],[2.33690832620704,48.9257337517928],[2.33710254374167,48.92564130417],[2.33688419187042,48.9254703448809]],""type"":""LineString""}",206.3666720835759,Olympique Village
