Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Paris Gare de Lyon,"48.8441374215741, 2.38155375952455","{""coordinates"": [2.38155375952455, 48.8441374215741], ""type"": ""Point""}",Paris Gare de Lyon (PLY) - TX
Paris Gare de Lyon No Van,"48.845367453269, 2.37479183758513","{""coordinates"": [2.37479183758513, 48.845367453269], ""type"": ""Point""}",Paris Gare de Lyon (PLY) - TX No van
Paris Gare du Nord,"48.8812734214839, 2.35358740933223","{""coordinates"": [2.35358740933223, 48.8812734214839], ""type"": ""Point""}",Paris Gare du Nord (XPG) - TX
Paris Gare du Nord,"48.8826087992385, 2.35473324286978","{""coordinates"": [2.35473324286978, 48.8826087992385], ""type"": ""Point""}",
Paris Gare du Nord,"48.8810891442896, 2.35334531296501","{""coordinates"": [2.35334531296501, 48.8810891442896], ""type"": ""Point""}",Paris Gare du Nord (XPG) - TA
Paris Gare du Nord,"48.8827075736902, 2.35480298030418","{""coordinates"": [2.35480298030418, 48.8827075736902], ""type"": ""Point""}",
Paris Gare du Nord,"48.8799332186714, 2.35515401958559","{""coordinates"": [2.35515401958559, 48.8799332186714], ""type"": ""Point""}",Paris Gare du Nord (XPG) - TA
Paris Gare du Nord,"48.8828140200234, 2.35487093887999","{""coordinates"": [2.35487093887999, 48.8828140200234], ""type"": ""Point""}",Paris Gare du Nord (XPG) - TA
PARIS GARE DU NORD Gare routiere,"48.8807417870003, 2.35728616069692","{""coordinates"": [2.35728616069692, 48.8807417870003], ""type"": ""Point""}",PARIS GARE DU NORD Gare routière PFR-navettes
Paris Gare Montparnasse,"48.8407398900308, 2.31923968444526","{""coordinates"": [2.31923968444526, 48.8407398900308], ""type"": ""Point""}",Gare Montparnasse - TA
Paris Gare Montparnasse,"48.8387578553874, 2.31708234387772","{""coordinates"": [2.31708234387772, 48.8387578553874], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Paris La Defense Arena,"48.8957471490236, 2.22421043822239","{""coordinates"": [2.22421043822239, 48.8957471490236], ""type"": ""Point""}",Paris La Défense Arena (DEF) - PMR-TAXI
Paris La Defense Arena,"48.8967774857311, 2.22866297706894","{""coordinates"": [2.22866297706894, 48.8967774857311], ""type"": ""Point""}",Arena La Défense
Paris La Defense Arena,"48.8967513342412, 2.22834964619182","{""coordinates"": [2.22834964619182, 48.8967513342412], ""type"": ""Point""}",Paris La Défense Arena (DEF) - SPS
Paris La Defense Arena,"48.8957350001911, 2.2243400004392","{""coordinates"": [2.2243400004392, 48.8957350001911], ""type"": ""Point""}",Paris La Défense Arena (DEF) - PSH-TAXI
Paris La Defense Arena,"48.8967738532436, 2.22811902712427","{""coordinates"": [2.22811902712427, 48.8967738532436], ""type"": ""Point""}",Paris La Défense Arena (DEF) - P2LZ
Paris La Defense Arena,"48.8949207990393, 2.22669849038671","{""coordinates"": [2.22669849038671, 48.8949207990393], ""type"": ""Point""}",Paris La Défense Arena (DEF) - PFR-navettes
Paris La Defense Arena,"48.8964162235314, 2.23080370438721","{""coordinates"": [2.23080370438721, 48.8964162235314], ""type"": ""Point""}",Paris La Défense Arena (DEF) DEF DEF DEF - ENG
Paris La Defense Arena,"48.8963439838027, 2.23120796604681","{""coordinates"": [2.23120796604681, 48.8963439838027], ""type"": ""Point""}",Paris La Défense Arena (DEF) DEF DEF DEF - CIR W
Paris La Defense Arena,"48.8939413492785, 2.22959856204262","{""coordinates"": [2.22959856204262, 48.8939413492785], ""type"": ""Point""}",Paris La Défense Arena (DEF) - TAXI
Paris La Defense Arena,"48.8966111652539, 2.22973718989786","{""coordinates"": [2.22973718989786, 48.8966111652539], ""type"": ""Point""}",Paris La Défense Arena (DEF) - DDS
Paris La Defense Arena,"48.8941057625116, 2.22698475561999","{""coordinates"": [2.22698475561999, 48.8941057625116], ""type"": ""Point""}",Paris La Défense Arena (DEF) - PMR-dépose-min
Paris La Defense Arena,"48.8961367611225, 2.22856578513016","{""coordinates"": [2.22856578513016, 48.8961367611225], ""type"": ""Point""}",Paris La Défense Arena (DEF) - TA
Paris La Defense Arena,"48.8943729999686, 2.2260729997426","{""coordinates"": [2.2260729997426, 48.8943729999686], ""type"": ""Point""}",Paris La Défense Arena (DEF) - PSH-TAXI
Paris La Defense Arena,"48.8968922572761, 2.22691433668486","{""coordinates"": [2.22691433668486, 48.8968922572761], ""type"": ""Point""}",Paris La Défense Arena (DEF) - TF
Paris La Defense Arena,"48.8967861100527, 2.2279723620018","{""coordinates"": [2.2279723620018, 48.8967861100527], ""type"": ""Point""}",Paris La Défense Arena (DEF) - TX
Paris La Defense Arena,"48.8973239679372, 2.21824519019594","{""coordinates"": [2.21824519019594, 48.8973239679372], ""type"": ""Point""}",Paris La Défense Arena (DEF) - P7 LZ
Paris La Defense Arena,"48.8944304460963, 2.22590677638072","{""coordinates"": [2.22590677638072, 48.8944304460963], ""type"": ""Point""}",Paris La Défense Arena (DEF) - PMR-Parking
Paris La Defense Arena,"48.8913933371369, 2.23027233974574","{""coordinates"": [2.23027233974574, 48.8913933371369], ""type"": ""Point""}",Paris La Défense Arena (DEF) - CIR P
Paris La Defense Arena,"48.8963903599368, 2.23094207582774","{""coordinates"": [2.23094207582774, 48.8963903599368], ""type"": ""Point""}",Paris La Défense Arena (DEF) DEF DEF DEF - PHP
Paris La Defense Arena,"48.9005707338133, 2.22577848660738","{""coordinates"": [2.22577848660738, 48.9005707338133], ""type"": ""Point""}",
Paris St-Lazarre rue d'Amsterdam,"48.8769480015337, 2.32689112945171","{""coordinates"": [2.32689112945171, 48.8769480015337], ""type"": ""Point""}",PARIS SAINT-LAZARE Sortie rue d'Amsterdam PFR-navettes
Parking Gare de Chelles,"48.8748643783929, 2.58394158670639","{""coordinates"": [2.58394158670639, 48.8748643783929], ""type"": ""Point""}",Parking Gare de Chelles
Paxton Hotel MLV,"48.8266643141256, 2.70786795012075","{""coordinates"": [2.70786795012075, 48.8266643141256], ""type"": ""Point""}",Paxton Hotel MLV ( FR000478D) - TA
Paxton Hotel MLV,"48.8266588857386, 2.70785293580497","{""coordinates"": [2.70785293580497, 48.8266588857386], ""type"": ""Point""}",Paxton Hotel MLV ( FR000478D) - TA
PESI,"46.8260906941152, 1.75879138060007","{""coordinates"": [1.75879138060007, 46.8260906941152], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - TA
PESI,"46.826276371884, 1.75692437870744","{""coordinates"": [1.75692437870744, 46.826276371884], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - PFR-navettes
PESI,"46.8251895228611, 1.75966503623133","{""coordinates"": [1.75966503623133, 46.8251895228611], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - TA
